video_name,start_sec,end_sec,label
hoyeon_fall_normal_01.mp4,0,2,falling
hoyeon_fall_normal_01.mp4,2,5,lying
hoyeon_fall_normal_01.mp4,5,10,getting_up
hoyeon_fall_normal_01.mp4,10,11,standing
hoyeon_fall_normal_01.mp4,11,13,falling
hoyeon_fall_normal_01.mp4,13,15,lying
hoyeon_fall_normal_01.mp4,15,19,getting_up
hoyeon_fall_normal_01.mp4,19,20,standing
hoyeon_fall_normal_01.mp4,20,23,falling
hoyeon_fall_normal_01.mp4,23,26,lying
hoyeon_fall_normal_01.mp4,26,31,getting_up
hoyeon_fall_normal_01.mp4,31,32,standing
hoyeon_fall_normal_01.mp4,32,35,falling
hoyeon_fall_normal_01.mp4,35,39,lying
hoyeon_fall_normal_01.mp4,39,45,getting_up
hoyeon_fall_normal_01.mp4,45,47,standing
hoyeon_fall_normal_01.mp4,47,49,falling
hoyeon_fall_normal_01.mp4,49,54,lying
hoyeon_fall_normal_01.mp4,54,60,getting_up
hoyeon_fall_normal_01.mp4,60,61,standing
hoyeon_fall_normal_01.mp4,61,63,falling
hoyeon_fall_normal_01.mp4,63,64,lying
hoyeon_fall_normal_01.mp4,64,73,getting_up
hoyeon_fall_normal_01.mp4,73,74,standing
hoyeon_fall_normal_01.mp4,74,76,falling
hoyeon_fall_normal_01.mp4,76,78,lying
hoyeon_fall_normal_01.mp4,78,84,getting_up
hoyeon_fall_normal_01.mp4,84,85,ignore
hoyeon_fall_normal_01.mp4,85,87,standing
hoyeon_fall_normal_01.mp4,87,89,falling
hoyeon_fall_normal_01.mp4,89,93,lying
hoyeon_fall_normal_01.mp4,93,100,getting_up
hoyeon_fall_normal_01.mp4,100,101,standing
hoyeon_fall_normal_01.mp4,101,102,falling
hoyeon_fall_normal_01.mp4,102,108,lying
hoyeon_fall_normal_01.mp4,108,114,getting_up
hoyeon_fall_normal_01.mp4,114,116,standing
hoyeon_fall_normal_01.mp4,116,118,falling
hoyeon_fall_normal_01.mp4,118,123,lying
hoyeon_fall_normal_01.mp4,123,130,getting_up
hoyeon_fall_normal_01.mp4,130,131,standing
hoyeon_fall_normal_01.mp4,131,133,falling
hoyeon_fall_normal_01.mp4,133,139,lying
hoyeon_fall_normal_01.mp4,139,145,getting_up
hoyeon_fall_normal_01.mp4,145,147,ignore
hoyeon_fall_normal_01.mp4,147,149,standing
