video_name,start_sec,end_sec,label
sujin_fall_stay_down_01.mp4,0,1,standing
sujin_fall_stay_down_01.mp4,1,3,falling
sujin_fall_stay_down_01.mp4,3,15,lying
sujin_fall_stay_down_01.mp4,15,20,getting_up
sujin_fall_stay_down_01.mp4,20,21,standing
sujin_fall_stay_down_01.mp4,21,23,falling
sujin_fall_stay_down_01.mp4,23,40,lying
sujin_fall_stay_down_01.mp4,40,44,getting_up
sujin_fall_stay_down_01.mp4,44,45,standing
sujin_fall_stay_down_01.mp4,45,47,falling
sujin_fall_stay_down_01.mp4,47,61,lying
sujin_fall_stay_down_01.mp4,61,65,getting_up
sujin_fall_stay_down_01.mp4,65,67,standing
sujin_fall_stay_down_01.mp4,67,68,falling
sujin_fall_stay_down_01.mp4,68,85,lying
sujin_fall_stay_down_01.mp4,85,90,getting_up
sujin_fall_stay_down_01.mp4,90,91,standing
sujin_fall_stay_down_01.mp4,91,93,falling
sujin_fall_stay_down_01.mp4,93,98,lying
sujin_fall_stay_down_01.mp4,98,103,ignore
sujin_fall_stay_down_01.mp4,103,117,lying
sujin_fall_stay_down_01.mp4,117,123,getting_up
sujin_fall_stay_down_01.mp4,123,125,standing
sujin_fall_stay_down_01.mp4,125,127,falling
sujin_fall_stay_down_01.mp4,127,145,lying
sujin_fall_stay_down_01.mp4,145,151,getting_up
sujin_fall_stay_down_01.mp4,151,153,standing
sujin_fall_stay_down_01.mp4,153,155,falling
sujin_fall_stay_down_01.mp4,155,161,lying
sujin_fall_stay_down_01.mp4,161,166,getting_up
sujin_fall_stay_down_01.mp4,166,168,falling
sujin_fall_stay_down_01.mp4,168,177,lying
sujin_fall_stay_down_01.mp4,177,181,ignore
