video_name,start_sec,end_sec,label
yena_fall_normal_03.mp4,0,1,ignore
yena_fall_normal_03.mp4,1,2,falling
yena_fall_normal_03.mp4,2,7,lying
yena_fall_normal_03.mp4,7,13,transition
yena_fall_normal_03.mp4,13,15,standing
yena_fall_normal_03.mp4,15,17,falling
yena_fall_normal_03.mp4,17,23,lying
yena_fall_normal_03.mp4,23,30,transition
yena_fall_normal_03.mp4,30,31,standing
yena_fall_normal_03.mp4,31,33,falling
yena_fall_normal_03.mp4,33,39,lying
yena_fall_normal_03.mp4,39,46,transition
yena_fall_normal_03.mp4,46,48,standing
yena_fall_normal_03.mp4,48,50,falling
yena_fall_normal_03.mp4,50,59,lying
yena_fall_normal_03.mp4,59,65,transition
yena_fall_normal_03.mp4,65,67,falling
yena_fall_normal_03.mp4,67,73,lying
yena_fall_normal_03.mp4,73,80,transition
yena_fall_normal_03.mp4,80,82,standing
yena_fall_normal_03.mp4,82,83,falling
yena_fall_normal_03.mp4,83,89,lying
yena_fall_normal_03.mp4,89,94,transition
yena_fall_normal_03.mp4,94,95,standing
yena_fall_normal_03.mp4,95,97,falling
yena_fall_normal_03.mp4,97,100,lying
yena_fall_normal_03.mp4,100,105,transition
yena_fall_normal_03.mp4,105,106,standing
yena_fall_normal_03.mp4,106,108,falling
yena_fall_normal_03.mp4,108,115,lying
yena_fall_normal_03.mp4,115,117,transition
yena_fall_normal_03.mp4,117,120,ignore
