video_name,start_sec,end_sec,label
yena_fall_stay_down_01.mp4,0,1,standing
yena_fall_stay_down_01.mp4,1,3,falling
yena_fall_stay_down_01.mp4,3,18,lying
yena_fall_stay_down_01.mp4,18,25,transition
yena_fall_stay_down_01.mp4,25,26,standing
yena_fall_stay_down_01.mp4,26,28,falling
yena_fall_stay_down_01.mp4,28,45,lying
yena_fall_stay_down_01.mp4,45,51,transition
yena_fall_stay_down_01.mp4,51,52,standing
yena_fall_stay_down_01.mp4,52,54,falling
yena_fall_stay_down_01.mp4,54,70,lying
yena_fall_stay_down_01.mp4,70,77,transition
yena_fall_stay_down_01.mp4,77,78,standing
yena_fall_stay_down_01.mp4,78,80,falling
yena_fall_stay_down_01.mp4,80,94,lying
yena_fall_stay_down_01.mp4,94,102,transition
yena_fall_stay_down_01.mp4,102,103,standing
yena_fall_stay_down_01.mp4,103,105,falling
yena_fall_stay_down_01.mp4,105,129,lying
yena_fall_stay_down_01.mp4,129,136,transition
yena_fall_stay_down_01.mp4,136,138,standing
yena_fall_stay_down_01.mp4,138,140,falling
yena_fall_stay_down_01.mp4,140,151,lying
yena_fall_stay_down_01.mp4,151,157,transition
yena_fall_stay_down_01.mp4,157,158,standing
yena_fall_stay_down_01.mp4,158,160,falling
yena_fall_stay_down_01.mp4,160,171,lying
yena_fall_stay_down_01.mp4,171,177,transition
yena_fall_stay_down_01.mp4,177,178,standing
yena_fall_stay_down_01.mp4,178,180,ignore
