video_name,start_sec,end_sec,label
yena_slow_lie_down_01.mp4,0,5,slow_lying_down
yena_slow_lie_down_01.mp4,5,7,adjusting_position
yena_slow_lie_down_01.mp4,7,23,lying
yena_slow_lie_down_01.mp4,23,33,getting_up
yena_slow_lie_down_01.mp4,33,35,standing
yena_slow_lie_down_01.mp4,35,45,slow_lying_down
yena_slow_lie_down_01.mp4,45,49,adjusting_position
yena_slow_lie_down_01.mp4,49,69,lying
yena_slow_lie_down_01.mp4,69,76,getting_up
yena_slow_lie_down_01.mp4,76,78,standing
yena_slow_lie_down_01.mp4,78,88,slow_lying_down
yena_slow_lie_down_01.mp4,88,102,lying
yena_slow_lie_down_01.mp4,102,115,getting_up
yena_slow_lie_down_01.mp4,115,117,standing
yena_slow_lie_down_01.mp4,117,124,slow_lying_down
yena_slow_lie_down_01.mp4,124,139,lying
yena_slow_lie_down_01.mp4,139,148,getting_up
yena_slow_lie_down_01.mp4,148,151,standing
yena_slow_lie_down_01.mp4,151,159,slow_lying_down
yena_slow_lie_down_01.mp4,159,177,lying
yena_slow_lie_down_01.mp4,177,180,ignore
