sample_id,subject_id,session_id,room_id,is_explicit_test,split
hoyeon_fall_normal_01,hoyeon,hoyeon_fall_normal_01,unknown,False,train
hoyeon_lie_down_normal_01,hoyeon,hoyeon_lie_down_normal_01,unknown,False,val
hoyeon_stand_normal_01,hoyeon,hoyeon_stand_normal_01,unknown,False,train
hoyeon_test_04,hoyeon,hoyeon_test_04,unknown,True,test
sujin_fall_normal_01,sujin,sujin_fall_normal_01,unknown,False,train
sujin_fall_normal_02,sujin,sujin_fall_normal_02,unknown,False,train
sujin_fall_normal_03,sujin,sujin_fall_normal_03,unknown,False,train
sujin_fall_normal_04,sujin,sujin_fall_normal_04,unknown,False,val
sujin_fall_normal_05,sujin,sujin_fall_normal_05,unknown,False,train
sujin_fall_normal_06,sujin,sujin_fall_normal_06,unknown,False,train
sujin_fall_normal_07,sujin,sujin_fall_normal_07,unknown,False,train
sujin_fall_normal_08,sujin,sujin_fall_normal_08,unknown,False,train
sujin_fall_normal_09,sujin,sujin_fall_normal_09,unknown,False,train
sujin_fall_normal_10,sujin,sujin_fall_normal_10,unknown,False,train
sujin_fall_normal_11,sujin,sujin_fall_normal_11,unknown,False,train
sujin_fall_normal_12,sujin,sujin_fall_normal_12,unknown,False,val
sujin_fall_normal_13,sujin,sujin_fall_normal_13,unknown,False,train
sujin_fall_normal_14,sujin,sujin_fall_normal_14,unknown,False,train
sujin_fall_normal_15,sujin,sujin_fall_normal_15,unknown,False,val
sujin_fall_normal_16,sujin,sujin_fall_normal_16,unknown,False,train
sujin_fall_stay_down_01,sujin,sujin_fall_stay_down_01,unknown,False,train
sujin_fall_stay_down_02,sujin,sujin_fall_stay_down_02,unknown,False,train
sujin_fall_stay_down_03,sujin,sujin_fall_stay_down_03,unknown,False,train
sujin_fall_stay_down_04,sujin,sujin_fall_stay_down_04,unknown,False,val
sujin_fall_stay_down_05,sujin,sujin_fall_stay_down_05,unknown,False,train
sujin_lie_down_normal_01,sujin,sujin_lie_down_normal_01,unknown,False,train
sujin_slow_lie_down_01,sujin,sujin_slow_lie_down_01,unknown,False,train
sujin_stand_normal_01,sujin,sujin_stand_normal_01,unknown,False,train
sujin_stand_normal_02,sujin,sujin_stand_normal_02,unknown,False,train
sujin_stand_normal_03,sujin,sujin_stand_normal_03,unknown,False,train
sujin_stand_normal_04,sujin,sujin_stand_normal_04,unknown,False,train
sujin_stand_normal_05,sujin,sujin_stand_normal_05,unknown,False,train
sujin_stand_normal_06,sujin,sujin_stand_normal_06,unknown,False,train
sujin_stand_normal_07,sujin,sujin_stand_normal_07,unknown,False,train
sujin_stand_normal_08,sujin,sujin_stand_normal_08,unknown,False,train
sujin_stand_normal_09,sujin,sujin_stand_normal_09,unknown,False,val
sujin_stand_normal_10,sujin,sujin_stand_normal_10,unknown,False,train
sujin_stand_normal_11,sujin,sujin_stand_normal_11,unknown,False,train
sujin_stand_normal_12,sujin,sujin_stand_normal_12,unknown,False,val
sujin_test_03,sujin,sujin_test_03,unknown,True,test
yena_fall_normal_01,yena,yena_fall_normal_01,unknown,False,train
yena_fall_normal_02,yena,yena_fall_normal_02,unknown,False,train
yena_fall_normal_03,yena,yena_fall_normal_03,unknown,False,val
yena_fall_normal_04,yena,yena_fall_normal_04,unknown,False,train
yena_fall_normal_05,yena,yena_fall_normal_05,unknown,False,train
yena_fall_normal_06,yena,yena_fall_normal_06,unknown,False,train
yena_fall_normal_07,yena,yena_fall_normal_07,unknown,False,train
yena_fall_normal_08,yena,yena_fall_normal_08,unknown,False,train
yena_fall_normal_09,yena,yena_fall_normal_09,unknown,False,val
yena_fall_normal_10,yena,yena_fall_normal_10,unknown,False,val
yena_fall_normal_11,yena,yena_fall_normal_11,unknown,False,train
yena_fall_normal_12,yena,yena_fall_normal_12,unknown,False,train
yena_fall_normal_13,yena,yena_fall_normal_13,unknown,False,train
yena_fall_normal_14,yena,yena_fall_normal_14,unknown,False,train
yena_fall_normal_15,yena,yena_fall_normal_15,unknown,False,train
yena_fall_normal_16,yena,yena_fall_normal_16,unknown,False,train
yena_fall_normal_17,yena,yena_fall_normal_17,unknown,False,train
yena_fall_stay_down_01,yena,yena_fall_stay_down_01,unknown,False,train
yena_fall_stay_down_02,yena,yena_fall_stay_down_02,unknown,False,train
yena_fall_stay_down_03,yena,yena_fall_stay_down_03,unknown,False,train
yena_fall_stay_down_04,yena,yena_fall_stay_down_04,unknown,False,val
yena_fall_stay_down_05,yena,yena_fall_stay_down_05,unknown,False,train
yena_slow_lie_down_01,yena,yena_slow_lie_down_01,unknown,False,train
yena_stand_normal_01,yena,yena_stand_normal_01,unknown,False,val
yena_stand_normal_02,yena,yena_stand_normal_02,unknown,False,train
yena_stand_normal_03,yena,yena_stand_normal_03,unknown,False,train
yena_stand_normal_04,yena,yena_stand_normal_04,unknown,False,val
yena_stand_normal_05,yena,yena_stand_normal_05,unknown,False,train
yena_stand_normal_06,yena,yena_stand_normal_06,unknown,False,train
yena_stand_normal_07,yena,yena_stand_normal_07,unknown,False,train
yena_stand_normal_08,yena,yena_stand_normal_08,unknown,False,train
yena_stand_normal_09,yena,yena_stand_normal_09,unknown,False,train
yena_stand_normal_10,yena,yena_stand_normal_10,unknown,False,train
yena_stand_normal_11,yena,yena_stand_normal_11,unknown,False,train
yena_test_02,yena,yena_test_02,unknown,True,test
yena_test_04,yena,yena_test_04,unknown,True,test
