sample_id,fold
yena_arm_move_normal_01,0
yena_bending_normal_01,1
sujin_bending_normal_02,2
yena_chair_sit_variation_01,3
sujin_chair_sit_variation_03,4
sujin_chair_sit_variation_01,0
yena_chair_sit_variation_02,1
sujin_chair_sit_variation_02,2
yena_chair_sit_variation_03,3
yena_fall_normal_12,4
yena_fall_normal_07,0
yena_fall_normal_14,1
sujin_fall_normal_05,2
sujin_fall_normal_04,3
yena_fall_normal_09,4
sujin_fall_normal_08,0
sujin_fall_normal_07,1
yena_fall_normal_13,2
sujin_fall_normal_02,3
yena_fall_normal_01,4
sujin_fall_normal_10,0
yena_fall_normal_08,1
yena_fall_normal_11,2
sujin_fall_normal_01,3
sujin_fall_normal_16,4
sujin_fall_normal_06,0
yena_fall_normal_10,1
yena_fall_normal_15,2
yena_fall_normal_04,3
sujin_fall_normal_09,4
yena_fall_normal_16,0
yena_fall_normal_06,1
yena_fall_normal_02,2
sujin_fall_normal_03,3
hoyeon_fall_normal_01,4
sujin_fall_normal_15,0
yena_fall_normal_0,1
yena_fall_normal_17,2
sujin_fall_normal_12,3
yena_fall_normal_05,4
sujin_fall_normal_11,0
sujin_fall_normal_14,1
sujin_fall_normal_13,2
sujin_fall_stay_down_04,3
sujin_fall_stay_down_03,4
yena_fall_stay_down_02,0
yena_fall_stay_down_01,1
sujin_fall_stay_down_02,2
sujin_fall_stay_down_05,3
yena_fall_stay_down_04,4
sujin_fall_stay_down_01,0
yena_fall_stay_down_03,1
yena_fall_stay_down_05,2
yena_free_activity_normal_01,3
sujin_free_activity_03,4
sujin_free_activity_normal_01,0
hoyeon_free_activity_normal_01,1
yena_free_activity_normal_02,2
sujin_free_activity_normal_02,3
hoyeon_lie_down_normal_01,4
sujin_lie_down_normal_01,0
sujin_pick_up_variation_02,1
sujin_pick_up_normal_03,2
sujin_pick_up_normal_05,3
sujin_pick_up_variation_03,4
yena_pick_up_normal_11,0
sujin_pick_up_normal_12,1
sujin_pick_up_normal_04,2
yena_pick_up_normal_10,3
yena_pick_up_normal_07,4
sujin_pick_up_variation_04,0
yena_pick_up_variation_02,1
yena_pick_up_normal_08,2
yena_pick_up_normal_02,3
sujin_pick_up_normal_01,4
sujin_pick_up_normal_07,0
yena_pick_up_variation_03,1
yena_pick_up_normal_04,2
yena_pick_up_normal_03,3
yena_pick_up_variation_05,4
yena_pick_up_variation_01,0
yena_pick_up_normal_01,1
sujin_pick_up_normal_08,2
sujin_pick_up_normal_10,3
yena_pick_up_normal_05,4
sujin_pick_up_variation_01,0
yena_pick_up_normal_09,1
sujin_pick_up_normal_09,2
yena_pick_up_normal_06,3
sujin_pick_up_normal_11,4
sujin_pick_up_variation_05,0
sujin_pick_up_normal_06,1
yena_pick_up_variation_04,2
sujin_pick_up_normal_02,3
hoyeon_sit_normal_01,4
sujin_sit_normal_01,0
yena_sit_normal_07,1
yena_sit_normal_08,2
yena_sit_normal_01,3
yena_sit_normal_04,4
yena_sit_normal_02,0
sujin_sit_normal_05,1
yena_sit_normal_09,2
yena_sit_normal_03,3
sujin_sit_normal_02,4
sujin_sit_normal_03,0
sujin_sit_normal_07,1
sujin_sit_normal_06,2
sujin_sit_normal_08,3
yena_sit_normal_05,4
yena_sit_normal_06,0
sujin_sit_normal_04,1
sujin_sit_normal_09,2
yena_sit_move_normal_01,3
sujin_sit_to_stand_normal_03,4
sujin_sit_to_stand_normal_01,0
sujin_sit_to_stand_normal_04,1
yena_sit_to_stand_normal_04,2
sujin_sit_to_stand_normal_06,3
sujin_sit_to_stand_normal_02,4
sujin_sit_to_stand_normal_05,0
yena_sit_to_stand_normal_01,1
yena_sit_to_stand_normal_02,2
yena_sit_to_stand_normal_03,3
yena_slow_lie_down_01,4
sujin_slow_lie_down_01,0
sujin_stand_normal_08,1
yena_stand_normal_11,2
yena_stand_normal_06,3
yena_stand_normal_04,4
yena_stand_normal_03,0
yena_stand_normal_08,1
sujin_stand_normal_04,2
sujin_stand_normal_06,3
yena_stand_normal_10,4
hoyeon_stand_normal_01,0
sujin_stand_normal_09,1
yena_stand_normal_02,2
sujin_stand_normal_11,3
yena_stand_normal_07,4
sujin_stand_normal_10,0
sujin_stand_normal_02,1
yena_stand_normal_05,2
sujin_stand_normal_07,3
sujin_stand_normal_01,4
yena_stand_normal_01,0
sujin_stand_normal_12,1
sujin_stand_normal_03,2
sujin_stand_normal_05,3
yena_stand_normal_09,4
sujin_walk_normal_07,0
sujin_walk_normal_13,1
sujin_walk_normal_06,2
yena_walk_normal_12,3
yena_walk_normal_01,4
yena_walk_normal_08,0
yena_walk_normal_02,1
sujin_walk_normal_05,2
sujin_walk_normal_11,3
sujin_walk_normal_08,4
yena_walk_normal_06,0
yena_walk_normal_13,1
sujin_walk_normal_03,2
sujin_walk_normal_01,3
yena_walk_normal_10,4
sujin_walk_normal_12,0
hoyeon_walk_normal_01,1
sujin_walk_normal_04,2
yena_walk_normal_04,3
yena_walk_normal_11,4
yena_walk_normal_03,0
yena_walk_normal_05,1
sujin_walk_normal_09,2
sujin_walk_normal_02,3
yena_walk_normal_07,4
sujin_walk_normal_10,0
yena_walk_normal_09,1
hoyeon_walk_large_motion_01,2
