178 recordings, 16853 sequences, threads=12
[fold 0] train=128 inner-val=14 held-out=36
    epoch  1 train_loss=0.0975 val_mpjpe=0.2095 (37s)
    epoch  2 train_loss=0.0854 val_mpjpe=0.2115 (34s)
    epoch  3 train_loss=0.0781 val_mpjpe=0.2236 (33s)
    epoch  4 train_loss=0.0744 val_mpjpe=0.2241 (32s)
    epoch  5 train_loss=0.0708 val_mpjpe=0.2240 (32s)
    epoch  6 train_loss=0.0689 val_mpjpe=0.2134 (32s)
    epoch  7 train_loss=0.0647 val_mpjpe=0.2172 (33s)
    epoch  8 train_loss=0.0642 val_mpjpe=0.2127 (32s)
    epoch  9 train_loss=0.0634 val_mpjpe=0.2169 (32s)
    epoch 10 train_loss=0.0621 val_mpjpe=0.2157 (32s)
    epoch 11 train_loss=0.0610 val_mpjpe=0.2104 (32s)
    epoch 12 train_loss=0.0598 val_mpjpe=0.2122 (30s)
    epoch 13 train_loss=0.0591 val_mpjpe=0.2110 (31s)
    epoch 14 train_loss=0.0590 val_mpjpe=0.2126 (34s)
    epoch 15 train_loss=0.0584 val_mpjpe=0.2107 (33s)
    epoch 16 train_loss=0.0579 val_mpjpe=0.2107 (33s)
    epoch 17 train_loss=0.0573 val_mpjpe=0.2115 (33s)
    epoch 18 train_loss=0.0569 val_mpjpe=0.2095 (33s)
    epoch 19 train_loss=0.0571 val_mpjpe=0.2122 (32s)
    epoch 20 train_loss=0.0566 val_mpjpe=0.2110 (33s)
    epoch 21 train_loss=0.0565 val_mpjpe=0.2128 (33s)
    epoch 22 train_loss=0.0561 val_mpjpe=0.2099 (33s)
    epoch 23 train_loss=0.0561 val_mpjpe=0.2115 (31s)
    epoch 24 train_loss=0.0557 val_mpjpe=0.2110 (32s)
    epoch 25 train_loss=0.0556 val_mpjpe=0.2115 (32s)
    epoch 26 train_loss=0.0556 val_mpjpe=0.2115 (33s)
    epoch 27 train_loss=0.0552 val_mpjpe=0.2122 (32s)
    epoch 28 train_loss=0.0554 val_mpjpe=0.2111 (32s)
    epoch 29 train_loss=0.0550 val_mpjpe=0.2103 (32s)
    epoch 30 train_loss=0.0549 val_mpjpe=0.2118 (32s)
    epoch 31 train_loss=0.0551 val_mpjpe=0.2103 (32s)
    epoch 32 train_loss=0.0549 val_mpjpe=0.2111 (32s)
    {'best_epoch': 22, 'val_mpjpe': 0.20992527902126312}
[fold 1] train=128 inner-val=14 held-out=36
    epoch  1 train_loss=0.0969 val_mpjpe=0.1965 (36s)
    epoch  2 train_loss=0.0819 val_mpjpe=0.2223 (36s)
    epoch  3 train_loss=0.0724 val_mpjpe=0.2142 (36s)
    epoch  4 train_loss=0.0691 val_mpjpe=0.2156 (36s)
    epoch  5 train_loss=0.0659 val_mpjpe=0.2238 (36s)
    epoch  6 train_loss=0.0634 val_mpjpe=0.2278 (36s)
    epoch  7 train_loss=0.0595 val_mpjpe=0.2231 (36s)
    epoch  8 train_loss=0.0587 val_mpjpe=0.2145 (36s)
    epoch  9 train_loss=0.0577 val_mpjpe=0.2239 (36s)
    epoch 10 train_loss=0.0566 val_mpjpe=0.2227 (37s)
    epoch 11 train_loss=0.0559 val_mpjpe=0.2097 (37s)
    epoch 12 train_loss=0.0547 val_mpjpe=0.2144 (37s)
    epoch 13 train_loss=0.0540 val_mpjpe=0.2182 (37s)
    epoch 14 train_loss=0.0537 val_mpjpe=0.2209 (36s)
    epoch 15 train_loss=0.0535 val_mpjpe=0.2216 (37s)
    epoch 16 train_loss=0.0531 val_mpjpe=0.2158 (37s)
    epoch 17 train_loss=0.0527 val_mpjpe=0.2172 (37s)
    epoch 18 train_loss=0.0522 val_mpjpe=0.2214 (36s)
    epoch 19 train_loss=0.0519 val_mpjpe=0.2148 (37s)
    epoch 20 train_loss=0.0517 val_mpjpe=0.2150 (36s)
    epoch 21 train_loss=0.0521 val_mpjpe=0.2215 (36s)
    epoch 22 train_loss=0.0514 val_mpjpe=0.2170 (37s)
    epoch 23 train_loss=0.0516 val_mpjpe=0.2199 (37s)
    epoch 24 train_loss=0.0516 val_mpjpe=0.2192 (37s)
    epoch 25 train_loss=0.0511 val_mpjpe=0.2212 (37s)
    epoch 26 train_loss=0.0511 val_mpjpe=0.2174 (36s)
    epoch 27 train_loss=0.0509 val_mpjpe=0.2174 (37s)
    epoch 28 train_loss=0.0510 val_mpjpe=0.2216 (37s)
    epoch 29 train_loss=0.0510 val_mpjpe=0.2201 (37s)
    epoch 30 train_loss=0.0509 val_mpjpe=0.2216 (36s)
    {'best_epoch': 20, 'val_mpjpe': 0.21497930586338043}
[fold 2] train=128 inner-val=14 held-out=36
    epoch  1 train_loss=0.1030 val_mpjpe=0.1196 (38s)
    epoch  2 train_loss=0.0821 val_mpjpe=0.1239 (38s)
    epoch  3 train_loss=0.0759 val_mpjpe=0.1210 (38s)
    epoch  4 train_loss=0.0716 val_mpjpe=0.1171 (37s)
    epoch  5 train_loss=0.0689 val_mpjpe=0.1191 (37s)
    epoch  6 train_loss=0.0663 val_mpjpe=0.1160 (38s)
    epoch  7 train_loss=0.0633 val_mpjpe=0.1198 (38s)
    epoch  8 train_loss=0.0620 val_mpjpe=0.1293 (38s)
    epoch  9 train_loss=0.0590 val_mpjpe=0.1245 (38s)
    epoch 10 train_loss=0.0584 val_mpjpe=0.1247 (37s)
    epoch 11 train_loss=0.0581 val_mpjpe=0.1360 (38s)
    epoch 12 train_loss=0.0554 val_mpjpe=0.1288 (37s)
    epoch 13 train_loss=0.0545 val_mpjpe=0.1225 (37s)
    epoch 14 train_loss=0.0541 val_mpjpe=0.1235 (37s)
    epoch 15 train_loss=0.0535 val_mpjpe=0.1189 (37s)
    epoch 16 train_loss=0.0527 val_mpjpe=0.1180 (37s)
    epoch 17 train_loss=0.0515 val_mpjpe=0.1130 (37s)
    epoch 18 train_loss=0.0510 val_mpjpe=0.1217 (37s)
    epoch 19 train_loss=0.0512 val_mpjpe=0.1137 (37s)
    epoch 20 train_loss=0.0506 val_mpjpe=0.1154 (37s)
    epoch 21 train_loss=0.0505 val_mpjpe=0.1178 (39s)
    epoch 22 train_loss=0.0502 val_mpjpe=0.1191 (38s)
    epoch 23 train_loss=0.0496 val_mpjpe=0.1161 (39s)
    epoch 24 train_loss=0.0492 val_mpjpe=0.1214 (35s)
    epoch 25 train_loss=0.0490 val_mpjpe=0.1116 (34s)
    epoch 26 train_loss=0.0488 val_mpjpe=0.1204 (35s)
    epoch 27 train_loss=0.0487 val_mpjpe=0.1134 (35s)
    epoch 28 train_loss=0.0487 val_mpjpe=0.1166 (34s)
    epoch 29 train_loss=0.0485 val_mpjpe=0.1215 (35s)
    epoch 30 train_loss=0.0483 val_mpjpe=0.1165 (37s)
    epoch 31 train_loss=0.0480 val_mpjpe=0.1184 (37s)
    epoch 32 train_loss=0.0480 val_mpjpe=0.1173 (36s)
    epoch 33 train_loss=0.0478 val_mpjpe=0.1192 (35s)
    epoch 34 train_loss=0.0477 val_mpjpe=0.1172 (36s)
    epoch 35 train_loss=0.0476 val_mpjpe=0.1175 (35s)
    {'best_epoch': 25, 'val_mpjpe': 0.11158972978591919}
[fold 3] train=129 inner-val=14 held-out=35
    epoch  1 train_loss=0.1067 val_mpjpe=0.1704 (33s)
    epoch  2 train_loss=0.0867 val_mpjpe=0.1634 (33s)
    epoch  3 train_loss=0.0776 val_mpjpe=0.1684 (33s)
    epoch  4 train_loss=0.0742 val_mpjpe=0.1573 (33s)
    epoch  5 train_loss=0.0702 val_mpjpe=0.1813 (35s)
    epoch  6 train_loss=0.0673 val_mpjpe=0.1910 (34s)
    epoch  7 train_loss=0.0657 val_mpjpe=0.1909 (32s)
    epoch  8 train_loss=0.0629 val_mpjpe=0.1847 (32s)
    epoch  9 train_loss=0.0611 val_mpjpe=0.1813 (32s)
    epoch 10 train_loss=0.0588 val_mpjpe=0.1869 (32s)
    epoch 11 train_loss=0.0572 val_mpjpe=0.1788 (32s)
    epoch 12 train_loss=0.0566 val_mpjpe=0.1800 (32s)
    epoch 13 train_loss=0.0558 val_mpjpe=0.1756 (32s)
    epoch 14 train_loss=0.0554 val_mpjpe=0.1655 (32s)
    epoch 15 train_loss=0.0545 val_mpjpe=0.1723 (32s)
    epoch 16 train_loss=0.0536 val_mpjpe=0.1727 (32s)
    epoch 17 train_loss=0.0537 val_mpjpe=0.1786 (32s)
