variant,ema_alpha,features,window_sec,classifier,windows,fall_windows,AUROC,AUPRC,chance_AUPRC,mean_p_fall,mean_p_nonfall,minutes
base_3s,0.0,full,3.0,LR,12011,436,0.46364654130421856,0.03678836433190592,0.036300058279910084,0.2549737901673208,0.2998905613156086,0.2875461260477702
base_3s,0.0,full,3.0,GBM,12011,436,0.49979313214575866,0.03624416824398037,0.036300058279910084,0.2360826381638916,0.24853223790657786,4.122313217322032
ema03_3s,0.3,full,3.0,LR,12011,436,0.4362886638793667,0.03216518698709,0.036300058279910084,0.23512424823951192,0.3095686719032189,0.21534328460693358
ema03_3s,0.3,full,3.0,GBM,12011,436,0.4482420195375195,0.030991874543052567,0.036300058279910084,0.20578896164312444,0.25903772630172306,4.442517224947611
ema03_2s,0.3,full,2.0,LR,12352,470,0.44484702410583504,0.03888674852266079,0.03805051813471503,0.28412925511320003,0.3341501751329108,0.21827820936838785
ema03_2s,0.3,full,2.0,GBM,12352,470,0.4939289538619116,0.05334947893213,0.03805051813471503,0.2769456366008949,0.2847683410666898,4.565525857607524
ema03_1.5s,0.3,full,1.5,LR,12669,544,0.4304282140691328,0.04956778060874186,0.0429394585207988,0.33347003490888527,0.38145624489891466,0.22063668171564738
ema03_1.5s,0.3,full,1.5,GBM,12669,544,0.46466077926015764,0.0639479555720188,0.0429394585207988,0.3009575332449119,0.31772836103782415,4.463081844647726
ema015_2s,0.15,full,2.0,LR,12352,470,0.4320218854193899,0.039044742491226754,0.03805051813471503,0.26376980971051744,0.326890402281442,0.3160095492998759
ema015_2s,0.15,full,2.0,GBM,12352,470,0.4694358890794945,0.05192168296563253,0.03805051813471503,0.2632284258775492,0.28764076073380956,4.429026957352956
ema03_core12_2s,0.3,core12,2.0,LR,12352,470,0.45152143238297154,0.038781929180802324,0.03805051813471503,0.30153964213333095,0.337180240682824,0.10233209530512492
ema03_core12_2s,0.3,core12,2.0,GBM,12352,470,0.4841414870338471,0.04675751885022799,0.03805051813471503,0.27736048201976593,0.2931112343916835,1.8317015290260314
